g_ewaran,p_ewaran,g_parallel,p_parallel,g_zankoline,p_zankoline,department,collage-institute,university
55.4,53.8,61.757,59.3,62.4,62.4,بازرگانی نێودەوڵەتی,کۆلێژی یاسا و کارگێری,زانکۆی هەڵەبجە
,,58.2,57.3,61.5,61.5,سیاسەت و پەیوەندیە نێودەوڵەتیەکان,کۆلێژی یاسا و کارگێری,زانکۆی هەڵەبجە
,,63.4,63.4,70.359,70.359,جوگرافیا,زانستە مرۆڤایەتیەکان,زانکۆی هەڵەبجە
,,60,60,67.2,67.2,مێژوو,زانستە مرۆڤایەتیەکان,زانکۆی هەڵەبجە
,,61,60,66.1,66.1,گەشت وگوزار,زانستە مرۆڤایەتیەکان,زانکۆی هەڵەبجە
59.6,53.6,60,60,63.8,63.8,ڕاگەیاندن,زانستە مرۆڤایەتیەکان,زانکۆی هەڵەبجە
,,53.627,53.627,58.3,58.3,بنەماکانی ئایین,زانستە مرۆڤایەتیەکان,زانکۆی هەڵەبجە
66.317,59,66.015,63.928,78.3,72.3,زمانی ئینگلیزی,کۆلێژی پەروەردەی بنەڕەت,زانکۆی هەڵەبجە
,,63.1,63.1,64.639,64.639,زانستە کۆمەڵایەتیەکان,کۆلێژی پەروەردەی بنەڕەت,زانکۆی هەڵەبجە
67.2,57.2,72.712,57.921,70,61.4,زمانی عەرەبی,کۆلێژی پەروەردەی بنەڕەت,زانکۆی هەڵەبجە
54.186,53.8,60,60,70.039,70.039,گەشەپێدانی مرۆیی,کۆلێژی پەروەردەی شارەزوور,زانکۆی هەڵەبجە
57.7,57.7,63.379,60.1,62.5,62.5,زمانی کوردی - شارەزوور,کۆلێژی پەروەردەی شارەزوور,زانکۆی هەڵەبجە
